Tiempo inicio del ensayo: 2020-09-09 11:44:17.942376
LWC (g/m3)=8
MVD (um)=20
FBG1	FBG2	FBG3	FBG4	FBG5	FBG6	FBG7	FBG8	FBG9	FBG10	FBG11	FBG12	FBG13	FBG14	FBG15	FBG16	Tiempo (s)
-3.19	-4.15	-3.89	-3.91	-4.3	-4.51	-5.03	-5.16	-2.13	-3.85	-4.12	-4.4	-4.66	-4.82	-5.33	-5.84	0.1	
-2.93	-4.25	-4.05	-3.85	-4.41	-4.63	-4.99	-5.08	-2.29	-3.74	-4.38	-4.4	-4.66	-4.86	-5.35	-5.57	0.2	
-3.15	-4.17	-3.95	-3.95	-4.24	-4.43	-5.09	-5.14	-1.89	-3.81	-4.2	-4.54	-4.6	-4.95	-5.18	-5.78	0.3	
-2.97	-4.19	-3.97	-3.89	-4.26	-4.57	-5.03	-5.0	-2.13	-3.89	-4.3	-4.56	-4.6	-4.92	-5.35	-5.71	0.4	
-3.15	-4.25	-3.97	-4.03	-4.28	-4.51	-5.09	-5.1	-2.17	-3.77	-4.24	-4.46	-4.64	-4.8	-5.45	-5.69	0.5	
-2.87	-4.33	-3.99	-3.89	-4.26	-4.47	-4.99	-4.93	-2.1	-3.72	-4.22	-4.32	-4.76	-4.82	-5.33	-5.73	0.6	
-3.03	-4.29	-4.01	-4.07	-4.22	-4.65	-5.09	-4.93	-1.95	-3.68	-4.12	-4.52	-4.66	-4.78	-5.27	-5.42	0.7	
-3.27	-4.13	-4.03	-3.85	-4.39	-4.69	-5.09	-5.02	-2.06	-3.77	-4.18	-4.21	-4.76	-4.74	-5.33	-5.69	0.8	
-3.11	-4.27	-4.26	-3.8	-4.43	-4.3	-5.09	-5.0	-2.12	-3.81	-4.47	-4.42	-4.7	-4.9	-5.35	-5.44	0.9	
-3.11	-4.25	-4.15	-3.8	-4.41	-4.55	-5.05	-5.0	-2.12	-3.7	-4.26	-4.46	-4.66	-4.95	-5.35	-5.67	1.0	
-2.79	-4.29	-3.75	-4.03	-4.41	-4.78	-5.03	-5.14	-2.0	-4.13	-4.34	-4.58	-4.7	-4.84	-5.39	-5.67	1.1	
-3.01	-4.27	-4.01	-4.09	-4.41	-4.65	-5.09	-5.0	-2.06	-3.97	-4.22	-4.48	-4.72	-5.07	-5.45	-5.57	1.2	
-3.05	-4.25	-4.09	-3.85	-4.39	-4.53	-5.09	-5.06	-2.17	-3.76	-4.26	-4.56	-4.66	-4.52	-5.43	-5.59	1.5	
-2.81	-4.41	-4.09	-4.01	-4.41	-4.55	-5.09	-5.12	-2.1	-3.83	-4.16	-4.6	-4.66	-4.86	-5.25	-5.69	1.6	
-3.27	-4.21	-4.11	-3.85	-4.3	-4.53	-5.16	-5.16	-2.17	-3.95	-4.34	-4.6	-4.76	-4.92	-5.25	-5.65	1.7	
-3.19	-4.27	-3.99	-4.01	-4.3	-4.43	-5.11	-5.18	-2.08	-3.7	-4.06	-4.5	-4.66	-4.99	-5.27	-5.86	1.8	
-3.15	-4.17	-4.01	-3.91	-4.37	-4.55	-5.16	-5.31	-2.19	-3.8	-4.34	-4.44	-4.76	-4.97	-5.31	-5.88	1.9	
-3.17	-4.25	-4.17	-3.89	-4.26	-4.84	-5.03	-5.25	-1.98	-3.74	-4.16	-4.36	-4.72	-4.64	-5.39	-5.73	2.0	
-3.07	-4.21	-4.03	-3.93	-4.45	-4.61	-4.99	-5.25	-1.89	-3.72	-4.06	-4.6	-4.7	-5.17	-5.29	-5.82	2.1	
-2.93	-4.25	-4.17	-4.09	-4.37	-4.51	-5.03	-5.14	-2.0	-4.01	-4.28	-4.78	-4.66	-4.88	-5.41	-5.69	2.2	
-2.93	-4.27	-4.13	-4.01	-4.37	-4.61	-5.03	-5.04	-2.15	-3.75	-4.34	-4.7	-4.7	-4.99	-5.45	-5.59	2.3	
-2.89	-4.27	-4.07	-4.35	-4.53	-4.51	-5.03	-5.08	-2.08	-3.95	-4.12	-4.38	-4.66	-4.99	-5.41	-5.82	2.4	
-3.35	-4.15	-4.28	-3.6	-4.34	-4.67	-5.09	-5.08	-1.96	-3.81	-4.42	-4.64	-4.66	-4.99	-5.35	-5.73	2.5	
-3.11	-4.21	-3.97	-4.01	-4.37	-4.59	-5.05	-5.18	-2.21	-3.64	-4.47	-4.54	-4.72	-5.05	-5.35	-5.61	2.6	
-3.27	-4.37	-4.13	-3.83	-4.26	-4.86	-5.03	-4.93	-2.13	-3.97	-4.38	-4.72	-4.7	-4.94	-5.25	-5.86	2.7	
-3.19	-4.37	-4.3	-3.95	-4.28	-4.65	-5.05	-4.97	-2.23	-3.81	-4.34	-4.62	-4.66	-4.84	-5.41	-5.57	2.8	
-3.15	-4.23	-4.01	-4.11	-4.34	-4.59	-5.05	-4.99	-2.19	-3.83	-4.28	-4.52	-4.66	-4.84	-5.37	-5.67	2.9	
-3.31	-4.25	-4.07	-4.07	-4.32	-4.34	-5.09	-5.14	-2.04	-3.73	-4.38	-4.34	-4.7	-4.82	-5.39	-5.51	3.0	
-3.13	-4.35	-4.15	-4.15	-4.49	-4.8	-4.99	-5.02	-2.27	-3.77	-4.32	-4.34	-4.72	-4.78	-5.35	-5.44	3.1	
-3.29	-4.33	-4.19	-3.87	-4.45	-4.73	-5.09	-5.23	-2.0	-3.87	-4.24	-4.72	-4.7	-4.96	-5.39	-5.71	3.2	
-3.05	-4.25	-4.19	-4.07	-4.47	-4.53	-5.09	-5.02	-2.04	-4.09	-4.24	-4.6	-4.7	-4.96	-5.41	-5.63	3.3	
-3.29	-4.27	-4.25	-4.03	-4.43	-4.75	-5.05	-5.16	-2.04	-3.73	-4.34	-4.6	-4.7	-4.78	-5.45	-5.78	3.5	
-3.11	-4.31	-3.95	-4.07	-4.39	-4.59	-5.09	-5.1	-2.3	-3.77	-4.22	-4.34	-4.7	-4.8	-5.23	-5.67	3.6	
-3.17	-4.37	-4.11	-4.13	-4.3	-4.8	-5.05	-4.99	-2.34	-3.73	-4.16	-4.46	-4.66	-4.88	-5.39	-5.61	3.7	
-3.11	-4.37	-4.11	-4.05	-4.41	-4.63	-5.05	-5.06	-2.23	-3.85	-4.34	-4.6	-4.76	-4.9	-5.37	-5.82	3.8	
-3.07	-4.23	-4.15	-4.09	-4.47	-4.84	-5.03	-5.08	-2.12	-3.83	-4.4	-4.52	-4.64	-4.94	-5.47	-5.73	3.9	
