Tiempo inicio del ensayo: 2020-09-10 12:11:06.068781
LWC (g/m3)=0.39
MVD (um)=20
FBG1	FBG2	FBG3	FBG4	FBG5	FBG6	FBG7	FBG8	FBG9	FBG10	FBG11	FBG12	FBG13	FBG14	FBG15	FBG16	Tiempo (s)
-14.47	-14.06	-13.61	-14.49	-14.53	-14.31	-14.04	-13.67	-14.43	-14.41	-14.06	-14.44	-14.44	-14.08	-13.92	-14.0	0.1	
-14.22	-14.0	-13.99	-14.35	-14.51	-14.42	-14.06	-13.39	-14.24	-14.24	-14.0	-14.25	-14.33	-14.06	-13.92	-13.67	0.2	
-14.26	-13.87	-13.95	-14.32	-14.83	-14.42	-14.0	-13.65	-14.32	-14.09	-13.96	-14.18	-14.29	-13.91	-13.96	-13.7	0.3	
-14.22	-14.06	-14.22	-14.24	-14.66	-14.36	-14.04	-13.67	-14.37	-14.2	-14.15	-14.27	-14.25	-14.34	-13.92	-13.46	0.4	
-14.16	-14.0	-13.65	-14.37	-14.51	-14.57	-14.04	-13.76	-14.53	-14.2	-13.85	-14.16	-14.31	-14.08	-13.99	-13.8	0.5	
-14.26	-14.0	-14.05	-14.35	-14.66	-14.4	-14.04	-13.72	-14.41	-14.2	-13.98	-14.2	-14.25	-14.23	-13.92	-13.83	1.5	
-14.05	-14.04	-13.72	-14.41	-14.57	-14.4	-13.93	-13.74	-14.49	-14.15	-13.93	-14.42	-14.25	-14.08	-13.92	-13.87	1.6	
-14.11	-13.93	-14.05	-14.16	-14.68	-14.34	-14.0	-13.87	-14.24	-14.32	-14.19	-14.35	-14.29	-14.34	-13.92	-13.76	1.7	
-14.18	-13.93	-13.84	-14.39	-14.74	-14.21	-14.13	-13.28	-14.53	-14.05	-14.06	-13.99	-14.25	-14.16	-13.86	-13.78	1.8	
-14.43	-14.0	-13.93	-14.32	-14.46	-14.68	-13.98	-13.5	-14.12	-14.03	-13.78	-13.88	-14.29	-14.1	-13.92	-13.52	1.9	
-14.2	-14.0	-13.97	-14.35	-14.53	-14.55	-13.93	-13.82	-14.28	-14.34	-14.1	-14.12	-14.36	-13.91	-13.96	-14.06	2.0	
-14.41	-13.87	-13.8	-14.47	-14.36	-14.59	-14.04	-13.8	-14.3	-14.34	-14.32	-14.03	-14.38	-13.91	-13.86	-13.93	2.1	
-14.18	-13.89	-13.74	-14.41	-14.66	-14.4	-14.04	-13.67	-14.66	-14.11	-13.74	-14.29	-14.31	-14.21	-13.92	-13.76	2.3	
-13.9	-14.06	-13.95	-14.3	-14.53	-14.55	-14.13	-13.48	-14.37	-14.24	-13.91	-13.97	-14.27	-13.97	-13.86	-13.68	2.4	
-14.22	-14.0	-13.65	-14.41	-14.49	-14.23	-14.11	-13.33	-14.43	-14.32	-14.1	-14.14	-14.29	-14.08	-13.86	-13.8	2.5	
-14.01	-13.95	-13.65	-14.3	-14.44	-14.38	-14.0	-13.56	-14.45	-14.34	-14.04	-14.12	-14.14	-14.25	-13.86	-13.95	2.6	
-14.05	-13.83	-14.01	-14.3	-14.59	-14.42	-13.94	-13.67	-14.3	-14.34	-13.98	-14.05	-14.42	-14.23	-13.86	-13.65	2.7	
-14.24	-13.87	-13.91	-14.26	-14.57	-14.23	-13.91	-13.28	-14.12	-14.22	-14.15	-14.14	-14.31	-14.17	-13.86	-14.06	2.8	
-14.2	-13.89	-13.8	-14.37	-14.4	-14.21	-14.11	-13.33	-14.14	-14.07	-13.91	-14.12	-14.29	-14.06	-13.92	-13.78	2.9	
-14.31	-13.93	-13.74	-14.35	-14.49	-14.29	-13.94	-13.74	-14.16	-14.18	-13.98	-14.2	-14.27	-14.12	-13.82	-13.95	3.0	
-14.18	-13.89	-13.7	-14.54	-14.61	-14.57	-13.94	-13.54	-14.39	-14.24	-14.04	-14.16	-14.38	-14.17	-13.86	-13.72	3.1	
-14.24	-13.93	-14.01	-14.22	-14.4	-14.31	-13.98	-13.82	-14.04	-14.15	-14.0	-14.05	-14.12	-14.08	-13.86	-13.93	3.2	
-13.94	-13.93	-13.59	-14.28	-14.53	-13.99	-13.96	-13.56	-14.39	-14.32	-14.04	-13.69	-14.21	-14.06	-13.82	-13.87	3.3	
-14.2	-13.89	-13.88	-14.28	-14.49	-14.25	-14.11	-13.37	-14.66	-14.18	-14.21	-14.1	-14.38	-14.25	-13.86	-13.83	3.4	
-14.11	-13.93	-14.07	-14.2	-14.47	-14.08	-14.06	-13.39	-14.28	-14.11	-14.17	-14.01	-14.19	-14.17	-13.86	-13.72	3.5	
-13.71	-13.87	-13.65	-14.32	-14.42	-14.59	-14.0	-13.41	-14.47	-14.34	-14.08	-13.97	-14.19	-13.95	-13.92	-13.91	3.6	
-14.01	-14.0	-13.84	-14.32	-14.49	-14.25	-13.83	-13.63	-14.3	-14.26	-14.13	-14.16	-14.25	-13.97	-13.92	-13.76	3.7	
-14.13	-14.0	-13.8	-14.26	-14.4	-14.23	-14.0	-13.63	-14.41	-14.41	-14.06	-14.12	-14.21	-13.97	-13.82	-13.76	3.8	
-13.94	-13.93	-13.97	-14.43	-14.42	-14.59	-13.94	-13.46	-14.01	-14.22	-13.91	-14.35	-14.29	-14.08	-13.86	-13.68	3.9	
-14.16	-13.89	-14.05	-14.37	-14.59	-14.1	-14.0	-13.63	-14.47	-14.24	-14.13	-13.99	-14.21	-13.91	-13.86	-13.61	4.0	
-14.16	-13.93	-14.09	-14.22	-14.57	-14.27	-14.09	-13.39	-14.31	-14.01	-13.79	-14.06	-14.21	-14.08	-13.88	-13.83	4.1	
-14.13	-14.0	-13.7	-14.2	-14.34	-14.44	-13.96	-13.46	-14.12	-14.26	-13.93	-14.03	-14.31	-13.99	-13.88	-13.7	4.2	
-14.31	-13.95	-13.99	-14.24	-14.53	-14.25	-13.98	-13.59	-14.31	-14.13	-13.81	-13.99	-14.1	-14.21	-13.92	-13.85	4.3	
-14.33	-13.93	-13.84	-14.16	-14.4	-14.42	-14.0	-13.33	-14.1	-14.26	-14.02	-14.12	-14.31	-14.06	-13.86	-13.65	4.4	
-14.28	-13.83	-13.91	-14.07	-14.34	-14.59	-13.94	-13.65	-14.22	-14.18	-14.23	-14.1	-14.31	-13.97	-13.82	-13.8	4.5	
-14.16	-13.93	-13.57	-14.26	-14.57	-14.25	-13.94	-13.46	-14.22	-14.49	-14.4	-13.99	-14.19	-14.08	-13.86	-13.74	4.6	
-14.01	-14.0	-13.76	-14.49	-14.44	-14.34	-14.11	-13.33	-14.24	-14.51	-14.21	-14.03	-14.34	-14.06	-13.86	-13.59	4.9	
-14.09	-14.0	-13.93	-14.28	-14.53	-14.31	-14.11	-13.37	-14.35	-14.39	-14.25	-14.14	-14.31	-14.14	-13.86	-13.72	5.0	
-14.35	-13.93	-14.31	-14.13	-14.49	-14.12	-14.0	-13.48	-14.22	-14.37	-14.06	-14.18	-14.38	-13.97	-13.99	-13.89	5.1	
-14.48	-14.04	-14.14	-14.33	-14.53	-14.19	-13.87	-13.76	-14.14	-14.11	-13.72	-14.25	-14.19	-14.06	-13.88	-14.02	5.2	
-13.97	-14.04	-13.88	-14.37	-14.61	-14.19	-14.04	-13.63	-14.18	-14.3	-14.06	-14.18	-14.27	-14.29	-13.82	-13.8	5.3	
-13.99	-14.0	-13.8	-14.45	-14.66	-14.34	-14.04	-13.87	-14.35	-14.34	-14.13	-14.1	-14.34	-14.21	-13.92	-13.87	5.4	
-14.18	-14.0	-13.91	-14.41	-14.49	-14.29	-14.0	-13.67	-14.14	-14.37	-14.36	-13.99	-14.31	-14.38	-13.92	-13.93	5.5	
-14.16	-14.04	-13.86	-14.24	-14.66	-14.14	-14.0	-13.54	-14.45	-14.24	-14.17	-14.14	-14.34	-13.85	-13.92	-13.68	5.6	
-14.22	-14.0	-13.91	-14.39	-14.59	-14.32	-14.0	-13.87	-14.18	-14.34	-14.21	-14.1	-14.21	-14.14	-13.92	-13.91	5.7	
-14.37	-13.93	-14.18	-14.11	-14.53	-13.95	-13.94	-13.63	-14.31	-14.3	-14.06	-14.16	-14.53	-13.95	-13.99	-13.7	5.8	
-14.18	-14.1	-13.84	-14.39	-14.38	-14.57	-14.0	-13.54	-14.14	-14.49	-14.3	-14.14	-14.29	-14.31	-13.99	-13.76	5.9	
-14.05	-14.06	-14.09	-14.18	-14.61	-14.23	-14.06	-13.8	-14.26	-14.41	-14.21	-14.27	-14.36	-13.99	-13.92	-13.78	6.0	
-14.14	-14.06	-13.86	-14.28	-14.66	-14.49	-14.04	-13.5	-14.45	-14.3	-14.21	-13.95	-14.36	-14.14	-13.86	-13.72	6.1	
-13.97	-13.93	-13.95	-14.3	-14.72	-14.02	-14.04	-13.33	-14.14	-14.26	-14.06	-14.25	-14.38	-13.78	-13.92	-14.11	6.2	
-14.28	-14.0	-14.05	-14.18	-14.57	-14.19	-14.0	-13.67	-14.43	-14.32	-14.45	-14.23	-14.19	-14.25	-13.86	-13.76	6.3	
-14.26	-14.06	-13.97	-14.37	-14.61	-14.27	-14.0	-13.59	-14.26	-14.37	-14.32	-14.42	-14.25	-14.34	-13.86	-13.59	6.4	
-14.22	-14.06	-14.09	-14.24	-14.25	-14.53	-13.98	-13.8	-14.31	-14.34	-14.23	-14.18	-14.31	-14.25	-13.92	-13.87	6.5	
-14.35	-14.1	-14.18	-14.2	-14.51	-14.4	-14.0	-13.72	-14.26	-14.43	-14.3	-14.27	-14.36	-14.04	-13.99	-13.7	6.6	
-14.22	-14.16	-14.07	-14.39	-14.44	-14.36	-13.98	-13.56	-14.24	-14.45	-14.47	-14.23	-14.25	-14.42	-13.92	-13.85	6.7	
-14.16	-14.16	-13.8	-14.39	-14.59	-14.31	-13.96	-13.59	-14.33	-14.26	-14.08	-14.08	-14.29	-14.31	-14.03	-13.68	6.8	
-14.16	-14.06	-13.99	-14.22	-14.34	-14.59	-14.04	-13.56	-14.28	-14.34	-14.23	-14.01	-14.14	-14.34	-13.86	-13.78	6.9	
-14.13	-14.1	-14.09	-14.26	-14.55	-14.21	-14.17	-13.67	-14.3	-14.32	-14.27	-14.16	-14.36	-13.95	-13.92	-13.68	7.0	
-14.13	-14.16	-13.86	-14.37	-14.53	-14.31	-14.11	-13.67	-14.06	-14.32	-14.08	-14.08	-14.25	-14.34	-13.99	-14.02	7.1	
-14.11	-14.1	-13.99	-14.35	-14.57	-14.23	-14.04	-13.67	-14.43	-14.32	-14.34	-14.23	-14.31	-14.21	-13.97	-14.13	7.2	
-13.82	-14.0	-14.14	-14.39	-14.47	-14.38	-14.0	-13.76	-14.26	-14.41	-14.27	-14.27	-14.36	-14.31	-13.99	-13.87	7.3	
-13.82	-14.1	-13.91	-14.35	-14.44	-14.38	-14.0	-13.63	-14.1	-14.51	-14.21	-14.14	-14.38	-14.16	-13.92	-13.65	7.4	
-13.96	-14.06	-13.88	-14.56	-14.61	-14.29	-14.17	-13.67	-14.37	-14.24	-14.1	-14.22	-14.25	-14.16	-13.99	-13.63	7.5	
-14.22	-14.06	-14.05	-14.47	-14.36	-14.38	-14.08	-13.65	-14.37	-14.3	-13.96	-14.42	-14.31	-14.25	-13.92	-13.87	7.6	
-13.84	-14.04	-14.16	-14.28	-14.59	-14.44	-13.93	-13.93	-14.35	-14.43	-14.34	-14.03	-14.42	-13.95	-14.03	-13.8	7.7	
-14.01	-14.16	-14.03	-14.26	-14.57	-14.27	-14.11	-13.76	-14.18	-14.24	-14.08	-14.14	-14.31	-14.14	-13.99	-14.02	7.8	
-13.86	-14.1	-13.72	-14.35	-14.38	-14.48	-14.04	-13.59	-14.41	-14.11	-13.98	-14.25	-14.4	-14.31	-13.99	-13.93	7.9	
-14.18	-14.1	-14.11	-14.37	-14.57	-14.36	-14.19	-13.67	-14.18	-14.28	-14.13	-13.8	-14.36	-14.31	-13.99	-13.93	8.0	
-14.37	-14.16	-13.69	-14.18	-14.4	-14.46	-14.04	-13.82	-14.16	-14.39	-14.0	-14.29	-14.42	-13.99	-13.99	-14.02	8.1	
