Tiempo inicio del ensayo: 2020-09-10 11:45:07.244797
LWC (g/m3)=0.33
MVD (um)=70
FBG1	FBG2	FBG3	FBG4	FBG5	FBG6	FBG7	FBG8	FBG9	FBG10	FBG11	FBG12	FBG13	FBG14	FBG15	FBG16	Tiempo (s)
-14.47	-14.33	-14.32	-14.53	-14.76	-14.57	-14.44	-13.99	-14.42	-14.4	-13.95	-14.39	-14.54	-14.48	-14.2	-13.99	0.1	
-14.53	-14.27	-14.45	-14.38	-14.99	-14.69	-14.42	-14.17	-14.38	-14.34	-14.29	-14.48	-14.54	-14.37	-14.26	-13.93	0.4	
-14.75	-14.33	-14.19	-14.74	-14.97	-15.04	-14.47	-14.1	-14.51	-14.34	-14.06	-14.22	-14.48	-14.33	-14.26	-14.12	0.5	
-14.62	-14.39	-14.22	-14.6	-14.82	-14.97	-14.49	-14.21	-14.45	-14.53	-14.14	-14.35	-14.48	-14.5	-14.15	-14.04	0.6	
-14.45	-14.27	-14.43	-14.66	-14.84	-14.65	-14.38	-14.08	-14.53	-14.34	-14.16	-14.48	-14.5	-14.31	-14.26	-14.17	0.7	
-14.68	-14.16	-14.17	-14.66	-14.99	-14.65	-14.51	-13.93	-14.61	-14.53	-14.27	-14.31	-14.61	-14.37	-14.26	-14.34	0.8	
-14.49	-14.27	-14.19	-14.62	-14.78	-14.72	-14.47	-14.3	-14.65	-14.63	-14.27	-14.65	-14.48	-14.37	-14.26	-14.1	1.5	
-14.62	-14.37	-14.34	-14.47	-14.69	-14.65	-14.45	-13.93	-14.38	-14.42	-14.29	-14.46	-14.67	-14.5	-14.26	-13.84	1.6	
-14.45	-14.33	-14.32	-14.66	-14.78	-14.72	-14.38	-13.82	-14.53	-14.57	-14.21	-14.54	-14.56	-14.12	-14.26	-13.73	1.7	
-14.39	-14.33	-14.36	-14.57	-14.74	-14.57	-14.38	-13.93	-14.59	-14.59	-14.48	-14.45	-14.61	-14.2	-14.26	-14.1	1.8	
-14.56	-14.27	-14.22	-14.7	-14.95	-14.87	-14.45	-13.99	-14.59	-14.65	-14.33	-14.73	-14.54	-14.57	-14.2	-14.42	1.9	
-14.6	-14.37	-14.05	-14.66	-14.95	-14.89	-14.38	-14.08	-14.69	-14.4	-14.35	-14.45	-14.52	-14.31	-14.2	-14.06	2.0	
-14.51	-14.33	-14.24	-14.59	-14.69	-14.91	-14.4	-14.04	-14.22	-14.55	-14.25	-14.35	-14.48	-14.37	-14.26	-14.14	2.1	
-14.79	-14.27	-14.36	-14.57	-14.65	-14.65	-14.4	-14.1	-14.36	-14.32	-14.12	-14.18	-14.61	-14.25	-14.2	-13.93	2.2	
-14.7	-14.27	-14.24	-14.64	-14.84	-14.63	-14.4	-14.38	-14.61	-14.42	-14.18	-14.41	-14.54	-14.46	-14.26	-14.08	2.3	
-14.36	-14.27	-14.32	-14.57	-14.99	-14.52	-14.42	-13.73	-14.4	-14.74	-14.31	-14.5	-14.5	-14.25	-14.26	-14.23	2.4	
-14.53	-14.33	-14.07	-14.64	-14.67	-14.74	-14.55	-13.91	-14.59	-14.51	-14.33	-14.5	-14.54	-14.54	-14.26	-14.12	2.5	
