Tiempo inicio del ensayo: 2020-09-10 11:14:36.817427
LWC (g/m3)=0.65
MVD (um)=20
FBG1	FBG2	FBG3	FBG4	FBG5	FBG6	FBG7	FBG8	FBG9	FBG10	FBG11	FBG12	FBG13	FBG14	FBG15	FBG16	Tiempo (s)
-14.02	-14.09	-14.17	-14.3	-14.61	-14.46	-14.29	-13.64	-14.17	-14.38	-13.99	-14.41	-14.5	-14.14	-14.02	-13.69	0.1	
-14.32	-14.05	-14.0	-14.28	-14.78	-14.24	-14.23	-14.16	-14.03	-13.81	-13.99	-14.18	-14.37	-14.22	-14.02	-13.71	0.2	
-14.32	-14.03	-13.92	-14.38	-14.56	-14.44	-14.27	-13.79	-14.46	-14.06	-14.2	-14.18	-14.35	-14.37	-13.98	-14.05	0.3	
-14.4	-14.03	-14.0	-14.34	-14.44	-14.76	-14.21	-13.9	-14.46	-14.42	-14.05	-14.3	-14.41	-14.2	-13.98	-13.69	0.4	
-14.23	-14.05	-13.86	-14.3	-14.69	-14.22	-14.14	-13.9	-14.24	-14.21	-14.05	-14.3	-14.31	-14.16	-13.98	-13.69	0.8	
-14.47	-13.99	-13.75	-14.21	-14.33	-14.63	-14.16	-13.71	-14.3	-14.17	-14.03	-14.03	-14.37	-14.39	-14.02	-13.9	0.9	
-14.47	-13.99	-13.94	-14.3	-14.61	-14.26	-14.21	-13.82	-14.44	-14.17	-14.12	-13.98	-14.26	-14.22	-14.02	-13.69	1.0	
-14.45	-13.99	-14.13	-14.11	-14.61	-14.24	-14.19	-13.79	-14.13	-14.11	-14.12	-14.22	-14.41	-13.8	-14.02	-13.97	1.1	
-14.32	-13.93	-14.19	-14.25	-14.52	-14.39	-14.14	-13.82	-14.36	-13.96	-13.93	-14.2	-14.35	-14.14	-14.02	-14.12	1.2	
-14.19	-13.93	-13.92	-14.21	-14.42	-14.26	-14.16	-13.84	-14.38	-14.08	-14.1	-14.09	-14.22	-14.29	-14.02	-13.82	1.3	
-14.21	-14.05	-14.15	-14.28	-14.8	-14.46	-14.27	-13.54	-13.9	-14.29	-14.03	-14.11	-14.35	-14.07	-14.02	-13.99	1.4	
-14.0	-14.03	-14.15	-14.36	-14.63	-14.33	-14.16	-13.64	-14.26	-14.13	-14.14	-14.13	-14.24	-14.33	-14.02	-13.97	1.5	
-14.28	-13.99	-13.98	-14.34	-14.78	-14.2	-14.1	-13.82	-14.09	-14.17	-14.1	-14.11	-14.29	-14.31	-13.98	-13.86	1.6	
-14.13	-14.03	-13.75	-14.36	-14.52	-14.56	-14.14	-13.82	-14.17	-14.15	-13.99	-14.22	-14.24	-13.97	-14.02	-13.65	1.7	
-14.4	-14.09	-14.07	-14.32	-14.54	-14.26	-14.14	-13.75	-14.32	-14.19	-13.95	-13.94	-14.39	-14.31	-13.98	-13.78	1.8	
-14.19	-13.93	-13.94	-14.25	-14.65	-14.35	-14.16	-13.82	-14.03	-14.11	-13.86	-14.37	-14.41	-14.07	-13.98	-13.67	1.9	
-14.3	-14.03	-13.9	-14.19	-14.54	-14.35	-14.1	-13.9	-14.13	-14.21	-14.18	-14.28	-14.27	-14.05	-14.09	-13.78	2.0	
-14.15	-13.99	-13.84	-14.23	-14.5	-14.37	-14.14	-13.84	-14.11	-14.36	-14.12	-14.28	-14.43	-13.88	-13.98	-13.95	2.1	
-14.26	-13.99	-13.84	-14.32	-14.65	-14.22	-14.21	-13.64	-14.34	-14.23	-13.99	-14.11	-14.31	-14.39	-13.96	-13.86	2.2	
-14.19	-14.05	-13.92	-14.34	-14.4	-14.35	-14.04	-13.8	-14.17	-13.98	-14.25	-14.18	-14.37	-13.99	-14.02	-13.67	2.3	
-14.3	-13.99	-13.92	-14.36	-14.63	-14.44	-14.14	-13.64	-14.26	-13.94	-13.95	-14.15	-14.24	-14.37	-14.02	-13.78	2.4	
-14.09	-14.03	-13.81	-14.15	-14.42	-14.61	-14.16	-13.9	-14.24	-14.15	-13.95	-14.24	-14.31	-14.07	-14.09	-13.84	2.5	
-14.28	-14.16	-14.02	-14.17	-14.52	-14.69	-14.12	-13.9	-14.46	-14.08	-14.12	-14.18	-14.29	-14.29	-14.09	-13.9	2.6	
-14.32	-14.03	-14.02	-14.42	-14.69	-14.37	-14.27	-13.56	-14.28	-14.06	-13.91	-14.09	-14.26	-14.33	-13.98	-13.93	2.7	
