Tiempo inicio del ensayo: 2020-09-10 11:59:24.831046
LWC (g/m3)=0.35
MVD (um)=40
FBG1	FBG2	FBG3	FBG4	FBG5	FBG6	FBG7	FBG8	FBG9	FBG10	FBG11	FBG12	FBG13	FBG14	FBG15	FBG16	Tiempo (s)
-14.62	-14.5	-14.34	-14.85	-15.12	-14.65	-14.38	-13.97	-14.84	-14.68	-14.59	-14.67	-14.72	-14.55	-14.37	-14.28	0.1	
-14.66	-14.44	-14.32	-14.68	-14.91	-15.02	-14.51	-14.21	-14.76	-14.64	-14.42	-14.76	-14.7	-14.48	-14.33	-14.34	0.2	
-14.45	-14.44	-14.22	-14.83	-14.78	-14.85	-14.51	-14.13	-14.91	-14.72	-14.49	-14.59	-14.65	-14.76	-14.33	-14.34	0.3	
-14.66	-14.33	-14.28	-14.7	-14.91	-14.93	-14.45	-14.19	-14.47	-14.72	-14.46	-14.52	-14.67	-14.63	-14.43	-14.25	0.4	
-14.49	-14.6	-14.24	-14.77	-14.74	-14.95	-14.41	-13.91	-14.61	-14.2	-14.21	-14.29	-14.63	-14.42	-14.26	-14.25	0.5	
-14.41	-14.37	-14.37	-14.75	-14.91	-14.87	-14.56	-14.08	-14.89	-14.53	-14.34	-14.52	-14.67	-14.68	-14.37	-14.36	0.6	
-14.77	-14.44	-14.58	-14.66	-14.91	-14.85	-14.49	-13.84	-14.68	-14.53	-14.32	-14.59	-14.78	-14.4	-14.37	-14.34	0.7	
-14.49	-14.37	-14.49	-14.79	-14.99	-15.1	-14.45	-14.21	-14.72	-14.76	-14.89	-14.39	-14.78	-14.83	-14.43	-14.34	0.8	
-14.62	-14.37	-14.41	-14.75	-14.82	-14.76	-14.51	-14.02	-14.72	-14.68	-14.42	-14.46	-14.7	-14.33	-14.31	-14.45	0.9	
-14.47	-14.48	-14.18	-14.81	-14.87	-14.89	-14.49	-13.87	-14.53	-14.68	-14.53	-14.48	-14.82	-14.74	-14.43	-13.95	1.0	
-14.45	-14.37	-14.28	-14.83	-14.95	-14.72	-14.45	-14.08	-14.66	-14.49	-14.4	-14.37	-14.76	-14.46	-14.37	-14.38	1.1	
-14.69	-14.37	-14.26	-14.64	-15.04	-14.93	-14.43	-14.04	-14.93	-14.78	-14.57	-14.57	-14.72	-14.65	-14.33	-14.4	1.2	
-14.67	-14.39	-14.24	-14.66	-14.97	-15.02	-14.51	-14.28	-14.97	-14.68	-14.44	-14.39	-14.78	-14.59	-14.43	-14.28	1.3	
-14.62	-14.5	-14.32	-14.68	-15.12	-14.72	-14.38	-13.93	-14.49	-14.68	-14.38	-14.52	-14.8	-14.46	-14.37	-14.21	1.4	
-14.52	-14.37	-14.28	-14.56	-14.95	-14.83	-14.56	-13.67	-14.76	-14.55	-14.42	-14.46	-14.7	-14.8	-14.37	-14.3	1.5	
-14.64	-14.44	-14.45	-14.64	-14.95	-14.72	-14.43	-14.21	-14.7	-14.76	-14.25	-14.63	-14.59	-14.76	-14.43	-14.13	1.6	
