Tiempo inicio del ensayo: 2020-09-10 10:48:38.964230
LWC (g/m3)=0.62
MVD (um)=40
FBG1	FBG2	FBG3	FBG4	FBG5	FBG6	FBG7	FBG8	FBG9	FBG10	FBG11	FBG12	FBG13	FBG14	FBG15	FBG16	Tiempo (s)
-14.53	-14.49	-14.51	-14.78	-15.07	-14.73	-14.55	-14.12	-15.05	-14.91	-14.74	-14.41	-14.8	-14.76	-14.37	-14.38	0.1	
-14.49	-14.45	-14.34	-14.68	-14.99	-14.86	-14.55	-14.25	-14.88	-14.82	-14.57	-14.54	-14.75	-14.48	-14.39	-14.36	0.2	
-14.81	-14.37	-14.68	-14.57	-15.03	-14.56	-14.62	-14.16	-14.9	-14.72	-14.57	-14.58	-14.75	-14.59	-14.43	-14.34	0.3	
-14.77	-14.43	-14.47	-14.64	-14.86	-14.99	-14.68	-14.21	-14.94	-14.8	-14.74	-14.33	-14.75	-14.65	-14.43	-14.53	0.4	
-14.51	-14.43	-14.36	-14.74	-14.95	-14.95	-14.51	-14.19	-14.75	-14.67	-14.54	-14.69	-14.63	-14.76	-14.32	-14.38	0.5	
-14.68	-14.43	-14.15	-14.7	-14.95	-14.93	-14.59	-14.19	-14.69	-14.74	-14.57	-14.58	-14.6	-14.76	-14.32	-14.49	0.6	
-14.64	-14.43	-14.49	-14.76	-14.99	-14.99	-14.61	-14.12	-14.61	-14.63	-14.39	-14.67	-14.77	-14.65	-14.43	-14.1	0.7	
-14.85	-14.49	-14.55	-14.81	-14.99	-14.97	-14.55	-14.19	-14.67	-14.82	-14.48	-14.52	-14.78	-14.65	-14.47	-14.61	0.8	
-14.83	-14.33	-14.53	-14.83	-14.97	-14.73	-14.55	-14.16	-14.78	-14.76	-14.25	-14.52	-14.78	-14.48	-14.43	-14.31	0.9	
-14.81	-14.39	-14.51	-14.78	-15.12	-14.56	-14.44	-14.21	-14.65	-14.74	-14.2	-14.62	-14.78	-14.44	-14.36	-14.25	1.0	
-14.64	-14.47	-14.34	-14.87	-15.07	-14.59	-14.59	-14.16	-14.69	-14.95	-14.46	-14.52	-14.75	-14.37	-14.49	-14.18	1.1	
